"","HCLTECH.NS.Open","HCLTECH.NS.High","HCLTECH.NS.Low","HCLTECH.NS.Close","HCLTECH.NS.Volume","HCLTECH.NS.Adjusted"
"387",502.5,512,502,507.725006103516,1825826,429.45751953125
"388",507.5,513.674987792969,505.399993896484,511.799987792969,2134474,432.904388427734
"389",511.25,518.950012207031,501.475006103516,517.275024414062,3714036,437.535400390625
"390",514.575012207031,521.224975585938,507.549987792969,510.774993896484,3490012,432.037353515625
"391",508.5,508.950012207031,496.5,505.25,3544858,427.364044189453
"392",501.700012207031,508.5,498.549987792969,505.549987792969,2687280,427.617889404297
"393",505.549987792969,518.5,501.600006103516,512.099975585938,3174832,433.158111572266
"394",512.575012207031,522.950012207031,508.225006103516,511.325012207031,3967844,432.502624511719
"395",517.974975585938,547.5,514.025024414062,544.125,12493298,460.246368408203
"396",542.400024414062,551.224975585938,538.900024414062,543.150024414062,5645698,459.421752929688
"397",545.950012207031,545.950012207031,533.674987792969,536.25,2507610,453.585327148438
"398",534.575012207031,541.700012207031,528.724975585938,538.075012207031,2803920,455.979339599609
"399",538.450012207031,538.450012207031,525.25,531.375,3108220,450.301574707031
"400",532.799987792969,538.974975585938,528.825012207031,532.025024414062,1682212,450.8525390625
"401",533.950012207031,545.400024414062,532.549987792969,542,4282308,459.305480957031
"402",541.474975585938,541.775024414062,533.025024414062,535.075012207031,2555246,453.437103271484
"403",535.25,543.174987792969,528.025024414062,539.450012207031,2580980,457.144622802734
"404",539.5,548.724975585938,538.799987792969,543.5,3319154,460.576629638672
"405",545.799987792969,548,531.825012207031,546.424987792969,2314884,463.055297851562
"406",549.5,550,531.900024414062,546.549987792969,6604388,463.161285400391
"407",548.5,565,546.150024414062,561.974975585938,6985284,476.232849121094
"408",556.5,562.849975585938,555,558.875,2948038,473.605834960938
"409",557.849975585938,557.900024414062,541.599975585938,550.174987792969,6738070,466.233245849609
"410",553.5,565.299987792969,551.424987792969,554.174987792969,4086894,469.622955322266
"411",556.174987792969,564.25,551.950012207031,562.825012207031,2425690,476.953063964844
"412",562.724975585938,562.724975585938,551.875,555.974975585938,2775294,471.148223876953
"413",557.75,560.575012207031,548.474975585938,550.200012207031,2075686,466.25439453125
"414",551,551,540.5,542.200012207031,3521728,459.474975585938
"415",544,547,526.299987792969,528.849975585938,5325506,448.161773681641
"416",528.5,532.224975585938,524,527.450012207031,4064734,446.975402832031
"417",527.450012207031,535,526.950012207031,534.25,3091588,452.737945556641
"418",535,539.474975585938,528.5,534.950012207031,3888868,453.331146240234
"419",534.5,534.5,523.275024414062,527.924987792969,3815108,447.377807617188
"420",529.825012207031,533.474975585938,525.325012207031,529.224975585938,2572672,448.479553222656
"421",529,529,516.125,524.775024414062,3762272,444.708526611328
"422",526,531.775024414062,518.650024414062,524.549987792969,5736082,444.517913818359
"423",531.5,531.5,508.5,516.450012207031,4733492,437.653717041016
"424",511.600006103516,525.849975585938,511.5,523.700012207031,5614452,443.797637939453
"425",524.75,531,522.099975585938,526.924987792969,4312820,446.530487060547
"426",527,527.775024414062,516.625,522.575012207031,6062076,442.844299316406
"427",522.75,526.799987792969,517.049987792969,520.525024414062,4458334,441.106994628906
"428",522,548.25,521.525024414062,540.299987792969,8559586,457.864715576172
"429",540.5,540.5,526.599975585938,529.775024414062,4190696,448.945648193359
"430",529,545,527.075012207031,538.400024414062,3435302,456.254730224609
"431",538,540.900024414062,532.325012207031,539.549987792969,2694188,457.229278564453
"432",542.875,545.5,534.450012207031,537.200012207031,1910498,455.237854003906
"433",535.025024414062,536.974975585938,520.075012207031,525.549987792969,3750540,445.365264892578
"434",525.525024414062,533.049987792969,520.700012207031,531.75,2707552,450.619354248047
"435",525,545,524,539.75,4312780,457.398773193359
"436",541.200012207031,549.900024414062,537,543.400024414062,2781204,460.491882324219
"437",544.549987792969,549.575012207031,539.724975585938,542.25,3002070,459.517303466797
"438",544.5,553.5,541.549987792969,550.450012207031,3018788,466.46630859375
"439",550,551.099975585938,542.275024414062,546.525024414062,1552278,463.14013671875
"440",547.474975585938,552.724975585938,544.200012207031,547.75,1647630,464.178314208984
"441",545.099975585938,547.950012207031,525.75,532.224975585938,5502486,451.022003173828
"442",535,551.974975585938,534,547.575012207031,7829074,464.029907226562
"443",577.549987792969,579.5,555.25,559.525024414062,13502160,474.156677246094
"444",560.5,568.625,549.049987792969,567.025024414062,4587220,480.512451171875
"445",569,569.825012207031,562.549987792969,565.25,303910,479.008239746094
"446",565.450012207031,572.924987792969,563.974975585938,569.875,3218206,482.927490234375
"447",575,575,569.099975585938,573.375,2441752,485.8935546875
"448",572.875,585,569.275024414062,581.375,5848998,493.533660888672
"449",579.450012207031,583.5,571.700012207031,576,2131710,488.970733642578
"450",580.025024414062,583.150024414062,576.025024414062,577.950012207031,3022168,490.626129150391
"451",578.049987792969,580.299987792969,571.674987792969,579.349975585938,2878100,491.814483642578
"452",580,580.025024414062,570.599975585938,574.174987792969,4576658,487.421539306641
"453",574.5,577.099975585938,568.049987792969,574.224975585938,2538638,487.463958740234
"454",574.174987792969,582.200012207031,573.049987792969,575.049987792969,4026580,488.164459228516
"455",575,576.849975585938,565.099975585938,572.974975585938,1906640,486.402770996094
"456",575,578.049987792969,567.349975585938,569.299987792969,3378350,483.283111572266
"457",570.75,578.700012207031,567.549987792969,573.900024414062,2540924,487.188110351562
"458",575.474975585938,579.900024414062,570,571.150024414062,3061712,484.853637695312
"459",574,574.849975585938,569.400024414062,570.549987792969,2484314,484.34423828125
"460",569.5,571.75,564.325012207031,567.325012207031,2365020,481.606597900391
"461",567.5,568.849975585938,562.75,566.400024414062,2225036,480.821319580078
"462",569.299987792969,574.25,565.775024414062,568.299987792969,3876184,482.434112548828
"463",565.224975585938,567.474975585938,554.474975585938,557.375,2597928,473.159912109375
"464",558.5,563.049987792969,553.025024414062,562.375,1693202,477.404357910156
"465",563.25,567.25,549.224975585938,554.025024414062,6459924,470.316101074219
"466",554.5,567.200012207031,554.5,564.125,3354312,478.889984130859
"467",569.5,571.700012207031,562.75,566.325012207031,2413116,480.757476806641
"468",568,568.424987792969,562.549987792969,563.825012207031,2387702,478.635406494141
"469",569.5,569.5,561.75,562.650024414062,2995916,477.637847900391
"470",564.974975585938,565.5,560.5,562.275024414062,3567662,477.319458007812
"471",563.5,565,558.224975585938,562.75,5903136,477.722808837891
"472",563.799987792969,567.650024414062,557.150024414062,560.900024414062,2683884,476.152374267578
