"","APOLLOHOSP.NS.Open","APOLLOHOSP.NS.High","APOLLOHOSP.NS.Low","APOLLOHOSP.NS.Close","APOLLOHOSP.NS.Volume","APOLLOHOSP.NS.Adjusted"
"1389",4863,4927.5498046875,4730,4820.85009765625,832136,4791.52490234375
"1390",4800,4953.9501953125,4754.10009765625,4941.89990234375,667417,4911.83837890625
"1391",4940.5,4960,4872.5498046875,4892.75,375779,4871.8603515625
"1392",4874.9501953125,4895,4825.10009765625,4848.35009765625,336848,4836.54638671875
"1393",4881,4945.4501953125,4840,4932.64990234375,243126,4920.640625
"1394",4947.89990234375,4959,4906.14990234375,4919.64990234375,175172,4907.67236328125
"1395",4958,4987,4911,4945.60009765625,597123,4933.5595703125
"1396",4955,4983.5,4900.10009765625,4919.9501953125,534065,4907.97216796875
"1397",4900,4913.10009765625,4846,4865.5,249504,4853.654296875
"1398",4874.89990234375,4911.85009765625,4842,4905.4501953125,204098,4893.50732421875
"1399",4906,4945,4858.89990234375,4878.39990234375,591619,4866.52294921875
"1400",4881.9501953125,4889.9501953125,4845,4874.5,396122,4862.6328125
"1401",4887.4501953125,4911.7998046875,4805.7998046875,4814.10009765625,488260,4802.3798828125
"1402",4840,4849.9501953125,4801.2001953125,4840.35009765625,206097,4828.56591796875
"1403",4860,4870,4817.60009765625,4824.85009765625,354446,4813.103515625
"1404",4860,4992,4832.0498046875,4984.5,800554,4972.36474609375
"1405",4980,5043.64990234375,4954,5033.10009765625,535407,5020.8466796875
"1406",5029.9501953125,5044.89990234375,4987,5029.0498046875,334709,5016.80615234375
"1407",5040,5049.7998046875,4977.9501953125,4985.14990234375,292671,4973.0126953125
"1408",5004,5106.7998046875,5003.75,5095.9501953125,543287,5083.5439453125
"1409",5111,5125,4966,4979.2001953125,483061,4967.07763671875
"1410",4975,5021.2001953125,4945,5011,232238,4998.80029296875
"1411",5001,5100,4995.5,5084.5498046875,414391,5072.1708984375
"1412",5084.5498046875,5150.39990234375,5061.7001953125,5091.7998046875,658355,5079.4033203125
"1413",5100,5162,5067.35009765625,5075.14990234375,371912,5062.7939453125
"1414",5051.4501953125,5059.7998046875,4929,5006.2998046875,509910,4994.111328125
"1415",4990,5046.9501953125,4975.4501953125,5020.0498046875,422586,5007.828125
"1416",5013,5016.7998046875,4955,4989.5498046875,348459,4977.40234375
"1417",5014.89990234375,5113.4501953125,4972.85009765625,5097.0498046875,386746,5084.640625
"1418",5097,5097,5030.25,5053.7001953125,267102,5041.396484375
"1419",5054,5118.85009765625,5020,5105.35009765625,460768,5092.92041015625
"1420",5105.35009765625,5145.5,4995,5020.10009765625,407714,5007.87841796875
"1421",5054,5186.9501953125,5026.60009765625,5137.75,410567,5125.24169921875
"1422",5138.9501953125,5154.9501953125,5066,5118.9501953125,268482,5106.4873046875
"1423",5085,5096.85009765625,4982.2998046875,5047.39990234375,442482,5035.111328125
"1424",5054.9501953125,5079.85009765625,5026.64990234375,5047.0498046875,363289,5034.76220703125
"1425",5050,5084,5028.7998046875,5060.25,407753,5047.9306640625
"1426",5000,5066,4987.0498046875,5047.2998046875,176296,5035.01171875
"1427",5068.9501953125,5084.5498046875,5033,5066.7001953125,202645,5054.36474609375
"1428",5072.9501953125,5140,5065,5092.85009765625,336099,5080.45068359375
"1429",5092.7998046875,5113.9501953125,4871.7001953125,4993.85009765625,1029595,4981.69189453125
"1430",4988.9501953125,5029.10009765625,4933.75,5017.2998046875,410013,5005.0849609375
"1431",5030,5049.4501953125,4986.39990234375,5021.7001953125,259806,5009.474609375
"1432",5050,5068,5012.2001953125,5028.7998046875,217907,5016.556640625
"1433",5021,5039.9501953125,4938.4501953125,4977.25,341459,4965.13232421875
"1434",4977.25,5019.9501953125,4935.14990234375,4997.0498046875,231958,4984.8837890625
"1435",4990.10009765625,4999.9501953125,4940.5,4977.5498046875,252447,4965.43115234375
"1436",4977,5010.5498046875,4944.14990234375,4969.5498046875,363474,4957.45068359375
"1437",4960,4971.35009765625,4831.5,4859.89990234375,894230,4848.06787109375
"1438",4859.89990234375,4859.89990234375,4726,4760.2998046875,836962,4748.71044921875
"1439",4779.9501953125,4860.5498046875,4776.7998046875,4830.2001953125,333727,4818.4404296875
"1440",4840,4868.39990234375,4783.0498046875,4841.75,234759,4829.96240234375
"1441",4832,4899.64990234375,4805.2001953125,4819.89990234375,276660,4808.1650390625
"1442",4835,4856,4790,4796.5498046875,281746,4784.8720703125
"1443",4837.7998046875,4895,4810.2001953125,4887,214035,4875.10205078125
"1444",4950.75,5165.5,4937.0498046875,5153.2001953125,1262458,5140.654296875
