"","HINDCOPPER.NS.Open","HINDCOPPER.NS.High","HINDCOPPER.NS.Low","HINDCOPPER.NS.Close","HINDCOPPER.NS.Volume","HINDCOPPER.NS.Adjusted"
"413",33.5,34.3499984741211,33.2000007629395,33.9000015258789,771025,33.1686363220215
"414",33.7999992370605,34.7000007629395,33.5499992370605,34.4500007629395,531847,33.7067718505859
"415",34.5,35.5999984741211,34.4000015258789,35.0499992370605,724113,34.2938270568848
"416",35.25,36.4000015258789,34.7999992370605,35.2999992370605,1043606,34.5384368896484
"417",35.5499992370605,41.6500015258789,35.0499992370605,40.2999992370605,5761264,39.4305648803711
"418",39.4500007629395,40.4000015258789,38.0499992370605,38.2999992370605,1870961,37.4737091064453
"419",38,39.7999992370605,36.5,37.0499992370605,2803129,36.250675201416
"420",37.5499992370605,37.7000007629395,36.5,36.8499984741211,661378,36.0549926757812
"421",36.8499984741211,37.7999992370605,35.0499992370605,35.3499984741211,908948,34.5873565673828
"422",35,38.5,35,36.75,1423971,35.9571495056152
"423",37.4500007629395,39.2999992370605,37.2000007629395,38.4000015258789,1150333,37.5715599060059
"424",38.5,38.8499984741211,37.5499992370605,37.75,627010,36.9355773925781
"425",37.5499992370605,38,36.4000015258789,36.7000007629395,557783,35.9082336425781
"426",36.9500007629395,38.4500007629395,36.4000015258789,37.3499984741211,1164977,36.5442047119141
"427",37.3499984741211,37.8499984741211,36.4000015258789,36.5999984741211,600991,35.8103866577148
"428",36.5999984741211,36.7999992370605,34.7999992370605,35.2000007629395,631942,34.4405899047852
"429",35,36.2999992370605,33.0499992370605,33.7999992370605,2103524,33.0707931518555
"430",33.7000007629395,34.2999992370605,32.4000015258789,32.75,865095,32.0434494018555
"431",33.4000015258789,34.7999992370605,32.2999992370605,32.7000007629395,2033901,31.9945259094238
"432",32.75,33.2000007629395,31.5,31.6499996185303,830670,30.9671802520752
"433",31.6499996185303,32.2999992370605,28.6000003814697,28.9500007629395,3166415,28.3254318237305
"434",29,30.5,29,29.7000007629395,1231693,29.0592517852783
"435",30.7999992370605,30.7999992370605,29.7000007629395,29.8999996185303,962329,29.2549343109131
"436",30.2999992370605,30.7999992370605,30.1000003814697,30.3999996185303,619900,29.7441463470459
