"","BAJFINANCE.NS.Open","BAJFINANCE.NS.High","BAJFINANCE.NS.Low","BAJFINANCE.NS.Close","BAJFINANCE.NS.Volume","BAJFINANCE.NS.Adjusted"
"296",2760,2837.94995117188,2748.85009765625,2828.14990234375,1549296,2776.1884765625
"297",2832,2835,2787.10009765625,2808.10009765625,896055,2756.5068359375
"298",2818.80004882812,2899,2815,2860.75,2091562,2808.18920898438
"299",2872,2941.10009765625,2845,2929.55004882812,1819986,2875.7255859375
"300",2930,2962.89990234375,2910.05004882812,2920.89990234375,1480565,2867.234375
"301",2924.80004882812,2934.55004882812,2857.80004882812,2868.60009765625,1406862,2815.8955078125
"302",2868,2895.5,2816,2836.64990234375,1250876,2784.53247070312
"303",2804,2862,2801,2849.80004882812,1066757,2797.4404296875
"304",2860,2942,2859,2934.35009765625,1570637,2880.43725585938
"305",2950,3014.14990234375,2932.5,2945.25,2419656,2891.13696289062
"306",2940.10009765625,3000,2940.05004882812,2995.85009765625,1366945,2940.8076171875
"307",3030.19995117188,3046.39990234375,2991,3001.44995117188,1109000,2946.30444335938
"308",3024.80004882812,3077,2998.35009765625,3055.19995117188,1136238,2999.06665039062
"309",3073,3089,3038.14990234375,3046,1052752,2990.03588867188
"310",3060,3065,3017.44995117188,3039.44995117188,772776,2983.60620117188
"311",3048,3125,3046.10009765625,3114.19995117188,1244408,3056.98266601562
"312",3123,3130,3018,3024.10009765625,1642189,2968.5380859375
"313",3016.55004882812,3049.10009765625,2979.44995117188,3008.69995117188,1733324,2953.4208984375
"314",3011.10009765625,3037,2986,2998.35009765625,994899,2943.26147460938
"315",3008,3055,2992,3047.85009765625,1016712,2991.85180664062
"316",3052,3062,3001.30004882812,3008.80004882812,1048138,2953.51928710938
"317",3028.60009765625,3033,3001.94995117188,3022.25,651634,2966.72216796875
"318",3018,3057.30004882812,3018,3032.5,1021478,2976.78344726562
"319",3038.69995117188,3046,2995,3014.44995117188,658826,2959.0654296875
"320",3010,3010,2975,2991.25,662157,2936.29150390625
"321",2992,3058.5,2987.05004882812,3035.05004882812,991968,2979.287109375
"322",3035,3099,3032,3093.05004882812,990580,3036.22143554688
"323",3099.80004882812,3114.39990234375,3072.64990234375,3081,1240564,3024.39282226562
"324",3089,3105,3045,3096.85009765625,613807,3039.95166015625
"325",3092,3120,3040,3095.94995117188,900968,3039.06762695312
"326",3095,3148.94995117188,3060,3131.75,895830,3074.2099609375
"327",3130.10009765625,3165,3102.30004882812,3111.85009765625,730728,3054.67602539062
"328",3066,3094,3026,3034.30004882812,966487,2978.55078125
"329",3052.89990234375,3069.80004882812,3007.60009765625,3017.05004882812,970264,2961.61767578125
"330",3012,3017,2900,2921.30004882812,1155023,2867.626953125
"331",2900,2991.80004882812,2885,2971.35009765625,1745234,2916.75756835938
"332",2970.10009765625,2996,2900,2922.85009765625,1630089,2869.14868164062
