"","DLF.NS.Open","DLF.NS.High","DLF.NS.Low","DLF.NS.Close","DLF.NS.Volume","DLF.NS.Adjusted"
"1175",357.299987792969,357.899993896484,346,347.850006103516,4315023,343.164855957031
"1176",354,361,354,359.100006103516,4660309,354.263336181641
"1177",364,372.899993896484,363.299987792969,367.350006103516,9169254,362.402221679688
"1178",367,370.450012207031,361.799987792969,368.899993896484,4146172,363.931365966797
"1179",359,367.950012207031,359,366.25,3136911,361.317047119141
"1180",367.450012207031,368.850006103516,356.5,358.5,3727411,353.671417236328
"1181",360.399993896484,367.75,357.649993896484,366.850006103516,3919948,361.908966064453
"1182",365.25,366.5,357.649993896484,362.549987792969,3680850,357.666870117188
"1183",368.149993896484,371.399993896484,358,358.700012207031,3591285,353.868743896484
"1184",357,361.799987792969,351.5,359.399993896484,4311369,354.559295654297
"1185",362.100006103516,369.299987792969,362,365.649993896484,2859419,360.725128173828
"1186",367.450012207031,377.350006103516,366.049987792969,370.299987792969,6360698,365.312469482422
"1187",368.5,374.5,365.5,373.399993896484,4314503,368.370727539062
"1188",374.399993896484,375,364.600006103516,369.799987792969,3605264,364.819213867188
"1189",369.799987792969,369.799987792969,369.799987792969,369.799987792969,0,364.819213867188
"1190",369,375.5,367.100006103516,369.75,2997168,364.769927978516
"1191",374,385.799987792969,369.700012207031,383.5,6417885,378.334686279297
"1192",385.850006103516,385.899993896484,380.399993896484,384.600006103516,3984403,379.419891357422
"1193",386,389.600006103516,382.299987792969,385.5,3315136,380.307769775391
"1194",387,392,385,389.649993896484,4655525,384.40185546875
"1195",388,391,380,385.149993896484,4448264,379.962463378906
"1196",383,388.5,380.600006103516,384.75,3805252,379.56787109375
"1197",385.200012207031,389.600006103516,384.049987792969,387.299987792969,2031089,382.08349609375
"1198",388.5,399.75,387.049987792969,397.799987792969,4991409,392.442077636719
"1199",398,402.149993896484,395.049987792969,397.049987792969,4968369,391.702178955078
"1200",396.25,400.350006103516,386.600006103516,391.149993896484,4250236,385.881652832031
"1201",395.5,405,395.5,400.549987792969,6567026,395.155029296875
"1202",402.299987792969,408.200012207031,400.299987792969,406.5,3134766,401.02490234375
"1203",407,409.5,401.399993896484,405.450012207031,2773854,399.989074707031
"1204",405.5,406.600006103516,396.549987792969,401.25,2711725,395.845642089844
"1205",401.399993896484,405.450012207031,400.149993896484,402.899993896484,2978886,397.473388671875
"1206",404,404.399993896484,397.600006103516,400.399993896484,2907982,395.007080078125
"1207",399,400.299987792969,391.799987792969,394.700012207031,3236030,389.383850097656
