"","ABB.NS.Open","ABB.NS.High","ABB.NS.Low","ABB.NS.Close","ABB.NS.Volume","ABB.NS.Adjusted"
"279",1142.44934082031,1154.52392578125,1123.92907714844,1132.00903320312,75404,1092.57580566406
"280",1127.06115722656,1135.32275390625,1111.9453125,1115.30444335938,29203,1076.45324707031
"281",1116.66613769531,1140.31591796875,1112.21765136719,1128.42297363281,60315,1089.11474609375
"282",1139.36267089844,1157.06591796875,1130.78344726562,1135.27734375,70442,1095.73022460938
"283",1142.994140625,1151.16479492188,1124.8369140625,1130.91955566406,55594,1091.52429199219
"284",1133.73388671875,1148.03271484375,1125.74475097656,1133.28002929688,55699,1093.80236816406
"285",1134.82336425781,1147.9873046875,1129.37622070312,1131.69128417969,36809,1092.26904296875
"286",1133.91552734375,1133.91552734375,1114.89587402344,1121.88635253906,88921,1082.80603027344
"287",1125.74475097656,1130.28405761719,1107.58764648438,1112.17224121094,223301,1073.43017578125
"288",1115.75830078125,1120.79699707031,1109.63024902344,1113.98803710938,235050,1075.1826171875
"289",1131.10119628906,1145.71765136719,1121.38708496094,1129.83020019531,216894,1090.47277832031
"290",1135.095703125,1138.81799316406,1109.63024902344,1120.02526855469,296798,1081.00952148438
"291",1123.92907714844,1135.73120117188,1112.126953125,1129.87548828125,187191,1090.51647949219
"292",1136.63903808594,1175.58618164062,1130.05712890625,1153.61608886719,191884,1113.43017578125
"293",1153.88842773438,1161.83215332031,1133.73388671875,1149.34912109375,138564,1109.31176757812
"294",1149.34912109375,1159.33557128906,1145.26379394531,1149.53063964844,44003,1109.48693847656
"295",1156.33959960938,1162.96704101562,1129.37622070312,1138.68176269531,63201,1099.01623535156
"296",1141.677734375,1195.55908203125,1133.00769042969,1177.44738769531,561331,1136.43139648438
"297",1185.75427246094,1202.91271972656,1172.09094238281,1188.93176269531,315481,1147.51538085938
"298",1196.01306152344,1196.01306152344,1176.67565917969,1183.66613769531,240159,1142.43334960938
"299",1193.83422851562,1202.91271972656,1180.21630859375,1185.4365234375,81145,1144.14208984375
"300",1188.16003417969,1202.91271972656,1181.16955566406,1198.01037597656,102642,1156.27807617188
"301",1201.82336425781,1220.162109375,1198.10107421875,1215.35046386719,121312,1173.01416015625
"302",1220.52526855469,1224.70141601562,1211.85522460938,1216.53063964844,78801,1174.15307617188
"303",1214.62414550781,1216.53063964844,1199.23596191406,1211.67358398438,50755,1169.46520996094
"304",1211.99133300781,1220.162109375,1198.41882324219,1208.31457519531,38874,1166.22326660156
"305",1211.99133300781,1223.79357910156,1198.328125,1204.22912597656,201412,1162.27990722656
"306",1199.3720703125,1208.99548339844,1187.8876953125,1193.74340820312,169781,1152.15966796875
"307",1198.37353515625,1205.63635253906,1189.294921875,1196.37622070312,107242,1154.70068359375
"308",1196.55773925781,1222.15942382812,1187.47912597656,1200.55236816406,214217,1158.7314453125
"309",1206.36267089844,1216.53063964844,1198.46423339844,1209.40393066406,76579,1167.27478027344
"310",1211.99133300781,1214.66955566406,1189.294921875,1203.3212890625,45078,1161.40380859375
"311",1197.28405761719,1252.84497070312,1197.28405761719,1250.62072753906,175660,1207.0556640625
"312",1246.48999023438,1288.25146484375,1244.40185546875,1267.37072753906,267659,1223.22204589844
"313",1263.01306152344,1285.52795410156,1252.2548828125,1278.58276367188,101794,1234.04370117188
"314",1275.54150390625,1277.35717773438,1244.67431640625,1254.25219726562,75853,1210.56066894531
"315",1255.52319335938,1287.52514648438,1248.07873535156,1278.58276367188,66836,1234.04370117188
"316",1277.26635742188,1301.41540527344,1273.72570800781,1297.55700683594,112640,1252.35693359375
"317",1297.55700683594,1305.50085449219,1286.43579101562,1292.1552734375,41164,1247.14318847656
"318",1300.0537109375,1304.50219726562,1280.08081054688,1281.57873535156,175260,1236.93530273438
"319",1283.80297851562,1315.4873046875,1283.80297851562,1304.41137695312,105257,1258.97241210938
