"","POWERGRID.NS.Open","POWERGRID.NS.High","POWERGRID.NS.Low","POWERGRID.NS.Close","POWERGRID.NS.Volume","POWERGRID.NS.Adjusted"
"980",158.587493896484,158.8125,153.600006103516,154.949996948242,17566511,129.886245727539
"981",149.850006103516,152.25,148.5,151.162506103516,14750231,128.57844543457
"982",151.875,157.199996948242,151.537506103516,156.262496948242,15932489,132.91650390625
"983",156.149993896484,156.524993896484,153.637496948242,154.050003051758,8975969,131.034545898438
"984",154.050003051758,155.4375,153.75,154.574996948242,8648187,131.481140136719
"985",154.987503051758,156.487503051758,152.475006103516,154.199996948242,15736206,131.162124633789
"986",152.25,154.425003051758,152.024993896484,153.449996948242,17172943,130.524185180664
"987",153.449996948242,158.550003051758,151.237503051758,154.012496948242,87481206,131.002655029297
"988",153,154.649993896484,152.662506103516,153.300003051758,9842223,130.396621704102
"989",154.050003051758,155.212493896484,153.112503051758,153.75,7410054,130.779388427734
"990",154.725006103516,159.75,154.125,157.949996948242,14784090,134.35188293457
"991",157.5,158.512496948242,156.037506103516,156.487503051758,9565107,133.10791015625
"992",155.8125,156.524993896484,153.487503051758,154.462493896484,5615931,131.385406494141
"993",155.212493896484,156.375,153.375,153.899993896484,11908249,130.906951904297
"994",155.4375,155.4375,152.587493896484,153,11085710,130.14143371582
"995",153.412506103516,154.350006103516,152.625,152.887496948242,7208789,130.04573059082
"996",154.5,155.024993896484,153.262496948242,153.712493896484,11018139,130.747467041016
"997",155.699996948242,158.625,154.912506103516,156,20522807,132.693237304688
"998",155.962493896484,157.237503051758,154.912506103516,155.8125,14183654,132.533721923828
"999",156.862503051758,157.162506103516,154.350006103516,154.762496948242,7574539,131.640625
"1000",154.6875,155.887496948242,153.449996948242,153.862503051758,8475422,130.875076293945
"1001",154.5,155.550003051758,150.787506103516,153.487503051758,13724367,130.556106567383
"1002",155.324996948242,161.512496948242,154.050003051758,160.987503051758,30170343,136.935592651367
"1003",160.425003051758,164.4375,159.75,161.324996948242,29509593,137.222671508789
"1004",162.300003051758,163.3125,158.625,160.5,12850189,136.520919799805
"1005",160.125,165.149993896484,158.962493896484,164.137496948242,27389035,139.614974975586
"1006",163.5,164.475006103516,159.262496948242,161.137496948242,28512473,137.063186645508
"1007",163.125,163.125,156.9375,157.649993896484,18932049,134.096694946289
"1008",159,162.5625,158.399993896484,161.550003051758,19907759,137.4140625
"1009",162.75,162.787506103516,158.475006103516,159.712493896484,8622355,135.851089477539
"1010",161.137496948242,163.350006103516,159.9375,160.5,9921099,136.520919799805
"1011",160.5,161.25,158.25,158.475006103516,4594389,134.798446655273
"1012",159,160.012496948242,156.824996948242,157.274993896484,7329263,133.777725219727
"1013",158.287506103516,160.725006103516,157.5,160.237503051758,7869237,136.297637939453
"1014",160.5,161.550003051758,156.375,157.537506103516,9074237,134.001022338867
"1015",157.949996948242,158.737503051758,156.524993896484,157.012496948242,9833985,133.554443359375
"1016",157.537506103516,161.774993896484,157.537506103516,159.037506103516,19180334,135.276916503906
