"","COFORGE.NS.Open","COFORGE.NS.High","COFORGE.NS.Low","COFORGE.NS.Close","COFORGE.NS.Volume","COFORGE.NS.Adjusted"
"595",1480,1501.94995117188,1443.19995117188,1450.40002441406,313359,1371.36572265625
"596",1459.80004882812,1467.05004882812,1381.69995117188,1414.30004882812,645670,1337.23291015625
"597",1425.15002441406,1434.90002441406,1389.25,1404.55004882812,375820,1328.01403808594
"598",1406.90002441406,1418.75,1353.05004882812,1366.30004882812,300744,1291.84826660156
"599",1302,1354,1302,1343.15002441406,302498,1269.95983886719
"600",1345,1378,1324.5,1332.94995117188,320523,1260.3154296875
"601",1351,1369.80004882812,1328.05004882812,1347.19995117188,254767,1273.7890625
"602",1335.5,1368,1322,1338.05004882812,244640,1265.13757324219
"603",1338.05004882812,1397.94995117188,1334.40002441406,1370.05004882812,509057,1295.39404296875
"604",1384.25,1386.30004882812,1321.5,1330.75,755958,1258.23571777344
"605",1332.59997558594,1356,1326.84997558594,1336.55004882812,353450,1263.71960449219
"606",1335,1375,1328.09997558594,1369.30004882812,448529,1294.68493652344
"607",1380,1432.69995117188,1354.90002441406,1387.90002441406,902188,1312.27136230469
"608",1362.59997558594,1386.69995117188,1352,1378.55004882812,683129,1303.43090820312
"609",1390,1506,1388,1461.69995117188,2314144,1382.0498046875
"610",1469.5,1469.5,1408,1417.69995117188,624987,1340.44750976562
"611",1439.19995117188,1439.69995117188,1401.09997558594,1409.19995117188,291629,1332.41040039062
"612",1408.59997558594,1418,1375,1384.94995117188,249505,1309.48181152344
"613",1390,1444.44995117188,1386,1412.94995117188,555299,1335.95642089844
"614",1422.80004882812,1444,1413.59997558594,1420.34997558594,319136,1342.95288085938
"615",1431,1461.69995117188,1425.05004882812,1436.25,328937,1357.98669433594
"616",1445,1577,1441,1512.75,2654421,1430.31799316406
"617",1516.34997558594,1548.80004882812,1490.69995117188,1538.80004882812,749173,1454.94848632812
"618",1540,1617,1540,1567.5,1328636,1482.08435058594
"619",1565.80004882812,1598.69995117188,1547.19995117188,1592.90002441406,533167,1506.10070800781
