"","SUNPHARMA.NS.Open","SUNPHARMA.NS.High","SUNPHARMA.NS.Low","SUNPHARMA.NS.Close","SUNPHARMA.NS.Volume","SUNPHARMA.NS.Adjusted"
"1146",900.5,903.450012207031,878.150024414062,880.549987792969,2860170,863.233764648438
"1147",874.150024414062,892,872.599975585938,888.400024414062,2314528,870.929443359375
"1148",892,899.950012207031,878.049987792969,881,3223687,863.674926757812
"1149",888,890.650024414062,875,877.299987792969,5016244,860.047668457031
"1150",882.299987792969,890.5,878.099975585938,880.150024414062,1542618,862.841674804688
"1151",872,881,865,879.25,2068888,861.959350585938
"1152",883,895.5,882,893.049987792969,3672052,875.487915039062
"1153",893,901.900024414062,870.400024414062,871.849975585938,2939235,854.704833984375
"1154",872.900024414062,878,866,869.549987792969,1963435,852.450073242188
"1155",869,886.150024414062,864.450012207031,884.599975585938,2808538,867.2041015625
"1156",887,890.700012207031,882.549987792969,887.75,2252661,870.292236328125
"1157",879.5,896.400024414062,879.5,893.75,1698682,876.174194335938
"1158",898.25,900.75,887,894.299987792969,1772605,876.71337890625
"1159",894.5,901.900024414062,886.700012207031,890,1405210,872.497924804688
"1160",891.200012207031,895.150024414062,885.099975585938,887.700012207031,1571387,870.243103027344
"1161",889.849975585938,893.299987792969,883.5,890.150024414062,2216354,872.644958496094
"1162",884.599975585938,897.700012207031,880.049987792969,883.75,1889322,866.370910644531
"1163",883,888.150024414062,871.099975585938,874.299987792969,1780723,857.106689453125
"1164",878.700012207031,890.5,865.799987792969,868.049987792969,5625488,850.979553222656
"1165",872.400024414062,876.950012207031,856.799987792969,874.849975585938,1920725,857.645874023438
