"","ALKEM.NS.Open","ALKEM.NS.High","ALKEM.NS.Low","ALKEM.NS.Close","ALKEM.NS.Volume","ALKEM.NS.Adjusted"
"1415",3690,3690,3645,3651.85009765625,146526,3624.59252929688
"1416",3651.14990234375,3662.14990234375,3541.05004882812,3550.64990234375,267533,3524.14770507812
"1417",3552.60009765625,3575.64990234375,3512.05004882812,3555.94995117188,49899,3529.408203125
"1418",3555,3564.89990234375,3523.05004882812,3530.39990234375,49301,3504.048828125
"1419",3523.60009765625,3567.10009765625,3521.19995117188,3559.44995117188,101011,3532.88208007812
"1420",3559,3562.89990234375,3514.05004882812,3524.80004882812,156118,3498.49072265625
"1421",3524.80004882812,3626.30004882812,3522,3605.89990234375,100498,3578.9853515625
"1422",3629.94995117188,3649,3566.89990234375,3573.55004882812,97703,3546.876953125
"1423",3580,3596.05004882812,3452.39990234375,3476,152449,3450.05517578125
"1424",3494.25,3516.89990234375,3447,3457.5,104226,3431.69311523438
"1425",3457.5,3535,3457.5,3522.5,259891,3496.20776367188
"1426",3502.5,3558.64990234375,3490.05004882812,3551.55004882812,82563,3525.04125976562
"1427",3570,3592,3530.05004882812,3585.75,130100,3558.98559570312
"1428",3585.75,3617.75,3531.25,3539.75,147842,3513.3291015625
"1429",3555.94995117188,3604,3546.75,3594.94995117188,154901,3568.11694335938
"1430",3600.85009765625,3646.30004882812,3570,3612.44995117188,148801,3585.486328125
"1431",3615,3619.89990234375,3582.10009765625,3609.35009765625,82519,3582.40966796875
"1432",3621.89990234375,3634.89990234375,3581.25,3620.30004882812,122872,3593.27807617188
"1433",3632,3650,3614.94995117188,3632.89990234375,177578,3605.78393554688
"1434",3629.94995117188,3639.44995117188,3574.89990234375,3615.85009765625,163185,3588.861328125
"1435",3585,3608.75,3540,3585.60009765625,90781,3558.83715820312
"1436",3576,3610.69995117188,3521.60009765625,3533.85009765625,117576,3507.47314453125
"1437",3535.14990234375,3592.44995117188,3531.80004882812,3585.35009765625,108539,3558.5888671875
"1438",3584.89990234375,3586,3509.94995117188,3560.80004882812,61488,3534.22192382812
"1439",3586.80004882812,3687,3558,3675.14990234375,101943,3647.71850585938
"1440",3694.5,3700,3650.19995117188,3691.75,169649,3664.19458007812
"1441",3700,3735,3679.94995117188,3721.85009765625,140710,3694.07006835938
"1442",3734,3741.80004882812,3676.05004882812,3722.64990234375,126203,3694.86376953125
"1443",3723,3806,3723,3792.25,321314,3763.94458007812
"1444",3810,3855,3790.10009765625,3808.94995117188,261006,3780.51977539062
"1445",3809,3850,3783.55004882812,3825.19995117188,166232,3796.6484375
"1446",3825.19995117188,4050,3814.80004882812,4027.35009765625,662357,3997.28979492188
"1447",4055.25,4300,4011.05004882812,4232.7001953125,1222642,4201.107421875
"1448",4260.14990234375,4337.5,4232.7001953125,4282.7001953125,520821,4250.73388671875
"1449",4275.10009765625,4325,4212.5,4306.25,361432,4274.10791015625
"1450",4299.60009765625,4345,4289.14990234375,4299.9501953125,131420,4267.85546875
"1451",4337.0498046875,4383.9501953125,4300.2998046875,4344.9501953125,274824,4312.51953125
"1452",4359,4380,4322.25,4361.25,113150,4328.697265625
"1453",4384.2001953125,4450,4372.85009765625,4448.4501953125,228005,4415.24658203125
"1454",4450,4450,4380.7998046875,4390.5498046875,173174,4357.77880859375
"1455",4410,4500,4401.0498046875,4488.2998046875,246036,4454.79931640625
"1456",4500,4572.9501953125,4466.75,4530.9501953125,398114,4497.130859375
"1457",4540,4574.39990234375,4502.64990234375,4521.14990234375,310248,4487.404296875
"1458",4532.25,4593.4501953125,4526.2998046875,4557.7998046875,198443,4523.7802734375
