"","LTIM.NS.Open","LTIM.NS.High","LTIM.NS.Low","LTIM.NS.Close","LTIM.NS.Volume","LTIM.NS.Adjusted"
"1449",5241,5279.9501953125,5182.25,5262.14990234375,229733,5198.15283203125
"1450",5259,5269.9501953125,5216.39990234375,5261.10009765625,140187,5197.11572265625
"1451",5320,5444.25,5292.7001953125,5401.64990234375,468132,5335.95556640625
"1452",5420,5548.4501953125,5366.2998046875,5519.5,466812,5452.37255859375
"1453",5540,5548,5486.5,5518.5,338819,5451.384765625
"1454",5518.5,5637.64990234375,5510,5556.10009765625,457451,5488.52783203125
"1455",5585,5612,5510,5520.25,268090,5453.11376953125
"1456",5509.25,5576.10009765625,5505,5553.64990234375,203308,5486.107421875
"1457",5579.7998046875,5600,5452.10009765625,5471.35009765625,249485,5404.80810546875
"1458",5490,5511.35009765625,5437.75,5472.60009765625,152012,5406.04345703125
"1459",5478.9501953125,5490,5407.60009765625,5479.25,263892,5412.6123046875
"1460",5490,5595.2001953125,5490,5588.5,354830,5520.53369140625
"1461",5600,5615.9501953125,5515.60009765625,5536.7001953125,612934,5469.36376953125
"1462",5600,5610,5522.60009765625,5577.0498046875,195286,5509.22265625
"1463",5610,5632,5550,5577.39990234375,168191,5509.568359375
"1464",5575,5580,5454,5487.64990234375,268002,5420.90966796875
"1465",5508.5,5669.89990234375,5508.5,5639.85009765625,605990,5571.2587890625
"1466",5664.7998046875,5664.7998046875,5542,5567.2001953125,273629,5499.49267578125
"1467",5599,5754,5585,5708.7001953125,780096,5639.27197265625
"1468",5736,5800,5695.60009765625,5770.64990234375,497043,5700.46826171875
"1469",5800,5820,5735,5758,362937,5687.97216796875
"1470",5776.85009765625,5776.85009765625,5614,5727.5,387503,5657.8427734375
"1471",5810.0498046875,5965,5791.85009765625,5944.2998046875,958532,5872.00634765625
"1472",5949,6215,5936,6129.2998046875,1618791,6054.755859375
"1473",6140,6204.89990234375,6074.0498046875,6139.2001953125,413220,6064.5361328125
"1474",6169,6169,6032.89990234375,6112.75,431913,6038.40771484375
"1475",6140,6289,6000.0498046875,6032.5,886292,5959.13330078125
"1476",5982.4501953125,6147.85009765625,5950.0498046875,6111.0498046875,513420,6036.728515625
"1477",6186.9501953125,6240,6108,6229.10009765625,540467,6153.3427734375
"1478",6240,6288.25,6206.10009765625,6259.7001953125,271488,6183.57080078125
"1479",6278,6356,6255,6287.2001953125,357171,6210.736328125
"1480",6301.85009765625,6325,6233.35009765625,6253.14990234375,335511,6177.10009765625
"1481",6260.35009765625,6306,6200.25,6294.9501953125,245328,6218.39208984375
"1482",6308.7998046875,6318.75,6240,6261.89990234375,166927,6185.74365234375
"1483",6230,6284,6123.4501953125,6144,475149,6069.27734375
"1484",6110,6113.25,5955,5961.0498046875,421251,5888.552734375
"1485",5963,6020,5851.7001953125,5866.39990234375,618173,5795.0537109375
"1486",5945,6010,5902,5947.64990234375,429330,5875.3154296875
"1487",5988,5988,5835.0498046875,5845.60009765625,193870,5774.5068359375
"1488",5915,5957.89990234375,5875,5909.39990234375,351316,5837.53076171875
"1489",5915,5957.5,5885,5947.5,259576,5875.16748046875
"1490",5978.35009765625,5998.89990234375,5913.0498046875,5959.9501953125,232299,5887.4658203125
"1491",6025.60009765625,6245,6015,6237.0498046875,899942,6161.19580078125
"1492",6237.0498046875,6237.0498046875,6237.0498046875,6237.0498046875,0,6161.19580078125
"1493",6290,6299.9501953125,6193.89990234375,6235.89990234375,255823,6160.0595703125
"1494",6195,6324,6150,6275.60009765625,472635,6199.27734375
"1495",5700,5790,5411.75,5603,2798324,5534.85693359375
"1496",5689,5697.2001953125,5582,5652.14990234375,974885,5583.4091796875
"1497",5630,5724,5580,5638.5,754748,5569.92578125
"1498",5650.35009765625,5718.89990234375,5598.0498046875,5619.5498046875,729576,5551.2060546875
"1499",5650,5650,5457.2998046875,5494.64990234375,911916,5427.82470703125
"1500",5497,5514.10009765625,5400,5448.35009765625,772171,5382.087890625
"1501",5495,5524.7001953125,5345.0498046875,5352.7998046875,830778,5287.7001953125
"1502",5351,5466.4501953125,5310.2998046875,5448.5498046875,536486,5382.28564453125
"1503",5430,5434,5342,5364.64990234375,495519,5299.40576171875
"1504",5375.0498046875,5541,5375.0498046875,5485.85009765625,593677,5419.1318359375
"1505",5540,5540,5425.64990234375,5438.4501953125,301000,5372.30859375
