"","TCS.NS.Open","TCS.NS.High","TCS.NS.Low","TCS.NS.Close","TCS.NS.Volume","TCS.NS.Adjusted"
"258",1870,1875,1847,1870.15002441406,2359280,1679.0458984375
"259",1878,1898,1871.30004882812,1894.30004882812,2625816,1704.37353515625
"260",1881,1904.19995117188,1876,1900.65002441406,1683728,1710.08728027344
"261",1902,1932,1895.44995117188,1908.69995117188,2409803,1717.33020019531
"262",1907.09997558594,1918.25,1890,1901.90002441406,2457093,1711.21179199219
"263",1901,1906.09997558594,1870,1875.59997558594,2578169,1687.54870605469
"264",1884.80004882812,1905.25,1875,1901.55004882812,1962927,1710.89709472656
"265",1902,1935,1901,1920.80004882812,2327080,1728.21716308594
"266",1933,1962,1925.5,1955,2769033,1758.98779296875
"267",1962,1989.05004882812,1936.65002441406,1982.75,2557626,1783.95568847656
"268",1979.59997558594,1989.5,1954.65002441406,1981.40002441406,2429575,1782.74072265625
"269",1987,2019.75,1985,2014.09997558594,4094319,1812.162109375
"270",2009.5,2034.75,1998.09997558594,2029.94995117188,3064163,1826.42309570312
"271",2029.94995117188,2055.44995117188,2023,2050.25,1590764,1844.68786621094
"272",2050,2055,2028,2044.55004882812,1111404,1839.5595703125
"273",2049.89990234375,2086.85009765625,2041.05004882812,2074.80004882812,1789812,1866.77673339844
"274",2074.75,2097.94995117188,2067,2082.89990234375,1339945,1874.06420898438
"275",2075,2089.5,2051,2061.39990234375,1684474,1854.71960449219
"276",2060,2096,2048.89990234375,2065.89990234375,1778730,1858.76879882812
"277",2070,2070,2018,2051.60009765625,2422903,1845.90270996094
"278",2060.05004882812,2075,2033.05004882812,2044.59997558594,1724085,1839.60461425781
"279",2049,2052,2010.94995117188,2029.69995117188,1930065,1826.19836425781
"280",2037.59997558594,2041.94995117188,1962.65002441406,1970.30004882812,2942184,1772.75402832031
"281",1970,1971,1892,1904.80004882812,4408554,1713.82092285156
"282",1915,1933.80004882812,1881.30004882812,1914.75,4645778,1722.7734375
"283",1914.75,1940,1897.05004882812,1914.19995117188,4683919,1722.27868652344
"284",1917.19995117188,1930,1905.09997558594,1925.65002441406,2271955,1732.58032226562
"285",1932.5,1990,1930.5,1985.15002441406,2934880,1786.11486816406
"286",1984,2045.15002441406,1972.25,2038.69995117188,6453309,1834.29577636719
"287",2040,2074.94995117188,2022,2058.10009765625,4732082,1851.7509765625
"288",2060,2071.35009765625,1977.59997558594,1983.44995117188,8454295,1784.58520507812
"289",1995.05004882812,2005,1980.34997558594,1995.40002441406,4148548,1795.33740234375
"290",2005,2007,1976.59997558594,1988.09997558594,2449622,1788.76940917969
"291",1989.30004882812,2015,1985.05004882812,1999.59997558594,2635047,1799.11596679688
"292",2005,2024.05004882812,2000.19995117188,2013.30004882812,2539884,1811.44262695312
"293",2025,2033,2010.05004882812,2022.69995117188,2031071,1819.90014648438
"294",2028.90002441406,2033,2003.65002441406,2014.80004882812,3111689,1812.79223632812
"295",2014.05004882812,2024.80004882812,2003,2012.44995117188,2658550,1810.67810058594
"296",2013,2015.90002441406,1978.59997558594,2000.5,1833163,1799.92590332031
"297",2004.94995117188,2007.80004882812,1981,1987.40002441406,1905495,1788.13916015625
"298",1998.90002441406,2068.94995117188,1991,2039.94995117188,5184318,1835.42053222656
"299",2043,2064.60009765625,2011,2022.80004882812,2349915,1819.98999023438
"300",2030,2030,1995.09997558594,2022.80004882812,2373993,1819.98999023438
"301",2028,2044.80004882812,2000,2015.05004882812,3091165,1813.01745605469
"302",2015,2016,1983.30004882812,2005.65002441406,3148149,1804.55932617188
"303",2007.80004882812,2007.80004882812,1977.19995117188,1984.25,2429205,1785.30517578125
"304",1984,1994.94995117188,1958.05004882812,1982.65002441406,2316539,1783.86596679688
"305",1994,1998,1961,1967.90002441406,2266166,1770.59448242188
"306",1980,2014.59997558594,1972.80004882812,2000.30004882812,4054489,1799.74597167969
"307",2010,2039.94995117188,2008.25,2031.65002441406,2095740,1827.95288085938
"308",2037.09997558594,2086,2037,2079.30004882812,3719663,1870.82543945312
"309",2085,2089.60009765625,2058.10009765625,2079.30004882812,2939886,1870.82543945312
"310",2078.14990234375,2079.69995117188,2007.40002441406,2014.5,4397518,1812.52258300781
"311",2028.65002441406,2054.39990234375,2018.80004882812,2048.30004882812,3152103,1842.93347167969
"312",2059,2075,2032.69995117188,2070.75,2194294,1863.13293457031
"313",2070,2098,2057.64990234375,2091.5,2690970,1881.80224609375
"314",2083,2085.5,2036,2040.25,3313062,1835.69018554688
"315",2045,2055,2013.65002441406,2019.5,3422442,1817.02087402344
"316",2038,2039,2007,2014.5,3198471,1812.52258300781
"317",2070,2119.80004882812,2041,2113.30004882812,9189201,1901.41662597656
"318",2120,2155.94995117188,2115.55004882812,2131.80004882812,5771952,1918.06201171875
"319",2149.89990234375,2155,2114.19995117188,2150.05004882812,3413728,1934.48132324219
"320",2148,2176,2145.60009765625,2161.44995117188,2007135,1944.73889160156
"321",2163,2165.5,2134.05004882812,2155.05004882812,2163524,1938.98083496094
"322",2158,2195,2156.10009765625,2183.44995117188,3003071,1964.5322265625
"323",2175,2205,2168.05004882812,2195,4211526,1974.92504882812
"324",2203,2243.94995117188,2193.14990234375,2238.55004882812,2716958,2014.10852050781
"325",2238.55004882812,2266.94995117188,2230.10009765625,2260.35009765625,3488395,2033.72302246094
"326",2255,2259.39990234375,2211.10009765625,2215.39990234375,2457699,1993.27917480469
"327",2185,2186.05004882812,2125,2132,3780886,1918.24169921875
"328",2110,2165,2108.5,2157.85009765625,2891422,1941.49975585938
"329",2160.05004882812,2184.35009765625,2138.80004882812,2151.94995117188,2201698,1936.19091796875
"330",2151,2168,2130.39990234375,2152.85009765625,1824895,1937.00109863281
"331",2145,2184.10009765625,2136.10009765625,2172.55004882812,2264162,1954.72570800781
"332",2175,2192,2125.85009765625,2135.80004882812,2039633,1921.66076660156
"333",2133,2167,2121.64990234375,2128.75,1701744,1915.31762695312
"334",2135,2159.80004882812,2072.35009765625,2092.35009765625,2456110,1882.56689453125
"335",2097,2124,2084.5,2095.39990234375,2346876,1885.31115722656
"336",2096,2124,2077.05004882812,2108.75,1946529,1897.32263183594
"337",2112.60009765625,2135,2090,2095.44995117188,1947908,1885.35595703125
"338",2125,2151.39990234375,2050,2143.94995117188,2625116,1928.99304199219
"339",2148.05004882812,2148.69995117188,2102.55004882812,2109.75,1863157,1898.22216796875
"340",2110,2121.94995117188,2075,2081.75,2595795,1873.02966308594
"341",2098,2115.35009765625,2050,2054.05004882812,2541294,1848.10729980469
"342",2070,2070,2032.25,2048,2274208,1842.66357421875
"343",2054.80004882812,2068.94995117188,2040.09997558594,2055.14990234375,2329820,1849.09643554688
"344",2060,2097.5,2045,2073.75,5872979,1865.83178710938
"345",2080,2123.69995117188,2077.10009765625,2107.55004882812,3281320,1896.24304199219
"346",2123,2156.55004882812,2114.39990234375,2146.30004882812,4971725,1931.10766601562
