"","MPHASIS.NS.Open","MPHASIS.NS.High","MPHASIS.NS.Low","MPHASIS.NS.Close","MPHASIS.NS.Volume","MPHASIS.NS.Adjusted"
"343",943.849975585938,948.599975585938,933.200012207031,936.349975585938,84149,808.143493652344
"344",947.099975585938,970,935.5,951.650024414062,182648,821.348693847656
"345",935.049987792969,969.950012207031,935.049987792969,962.150024414062,319320,830.411010742188
"346",954.400024414062,1003,952.200012207031,1001.09997558594,477204,864.027893066406
"347",1002,1005.04998779297,963.349975585938,993.849975585938,298108,857.770568847656
"348",985.799987792969,1000,978.049987792969,988.599975585938,142970,853.239379882812
"349",984.200012207031,989.400024414062,965.099975585938,969.549987792969,322288,836.797790527344
"350",965.349975585938,976.75,962.049987792969,972.25,70167,839.127990722656
"351",970,974,951.5,955.25,102049,824.455688476562
"352",962.400024414062,965.400024414062,951.5,962.700012207031,126641,830.8857421875
"353",962.950012207031,962.950012207031,941.5,945.349975585938,278063,815.911193847656
"354",952.75,975,930.200012207031,970.200012207031,425662,837.358703613281
"355",968.650024414062,989.799987792969,962,979.549987792969,442558,845.428588867188
"356",977,977,950.099975585938,957.950012207031,87537,826.786010742188
"357",957.799987792969,977.349975585938,955.150024414062,965.150024414062,148212,833.000244140625
"358",961.5,978,961.5,974.150024414062,51406,840.767944335938
"359",976,983,963.25,979.299987792969,163547,845.212829589844
"360",972.400024414062,980.5,957.549987792969,972.950012207031,49983,839.732238769531
"361",973.700012207031,975.5,935.099975585938,940.400024414062,331886,811.639038085938
"362",941.099975585938,966,939.849975585938,963.299987792969,66038,831.403564453125
"363",958.099975585938,970.849975585938,951.549987792969,968.5,47133,835.891479492188
"364",962.099975585938,968,956.450012207031,961.599975585938,44441,829.936218261719
"365",964,998.799987792969,958.950012207031,990.849975585938,226987,855.181335449219
"366",995.799987792969,1017.90002441406,975.299987792969,1004.09997558594,247684,866.617065429688
"367",1010,1015.75,983.099975585938,990.700012207031,378793,855.051879882812
"368",998.549987792969,998.549987792969,970.099975585938,972.650024414062,359954,839.473327636719
"369",974.700012207031,1000,974,988.950012207031,165439,853.541442871094
"370",989.200012207031,999.950012207031,982.200012207031,994.400024414062,109226,858.245300292969
"371",988.25,991.950012207031,975.299987792969,981.950012207031,178833,847.499938964844
"372",979.400024414062,979.400024414062,954,966.049987792969,117784,833.776977539062
"373",970,985,938.150024414062,943,182904,813.883056640625
"374",953.599975585938,954,940,944.049987792969,116133,814.789184570312
"375",932.950012207031,949.700012207031,927.049987792969,943.049987792969,136893,837.889953613281
"376",942.150024414062,949,931,945.049987792969,167814,839.666931152344
"377",940,947.25,931.200012207031,935.299987792969,240010,831.004150390625
"378",938.650024414062,939.75,915.25,922.549987792969,215781,819.675964355469
"379",924.549987792969,934.5,910,919.299987792969,252109,816.788330078125
"380",921.950012207031,940.900024414062,915.25,933.950012207031,186943,829.804748535156
"381",930.299987792969,939,925.049987792969,931.900024414062,206510,827.9833984375
"382",916.5,931.900024414062,907.099975585938,918.900024414062,399758,816.432922363281
"383",917.299987792969,930,910,915.75,165872,813.634155273438
"384",918.799987792969,921.900024414062,908.75,914,143405,812.079284667969
"385",913.75,940,906,921.650024414062,227303,818.876342773438
"386",924.799987792969,938.900024414062,890.200012207031,929.700012207031,737677,826.028625488281
"387",927.700012207031,958.849975585938,923.099975585938,954.349975585938,463070,847.929809570312
"388",949.650024414062,966,943.75,958.650024414062,331318,851.750366210938
"389",958,958,926.150024414062,938.900024414062,935353,834.202758789062
"390",938,938,905.049987792969,911.650024414062,212172,809.991394042969
"391",905.200012207031,929.900024414062,905.200012207031,927.150024414062,174398,823.763061523438
"392",920.599975585938,954,911,944.549987792969,206639,839.222717285156
"393",946,969,928.849975585938,963.700012207031,220286,856.2373046875
"394",956,970,956,965.200012207031,80447,857.570007324219
"395",965.200012207031,969.5,960,961.849975585938,43731,854.593566894531
"396",961.799987792969,964.049987792969,958.049987792969,960.200012207031,128180,853.127563476562
"397",950.099975585938,968,930.650024414062,962,100042,854.726806640625
"398",962,968.150024414062,958,967.099975585938,62591,859.258117675781
"399",960.200012207031,979.400024414062,958.599975585938,977.25,128244,868.276306152344
"400",977,989.049987792969,962,968.599975585938,120080,860.590881347656
"401",970,976.450012207031,963.299987792969,975.150024414062,78737,866.410522460938
"402",977.049987792969,978,955.650024414062,972.099975585938,93578,863.700561523438
"403",965.099975585938,974,954.049987792969,964.849975585938,132065,857.259033203125
"404",960.549987792969,985.900024414062,960.549987792969,982.75,109796,873.163024902344
"405",984.5,999.5,969.5,985.25,68222,875.384216308594
"406",981.150024414062,991,960,966.75,189551,858.947143554688
"407",967.049987792969,983.599975585938,962.049987792969,977.75,117632,868.720581054688
"408",978,978,961.549987792969,968,101768,860.057739257812
"409",967.900024414062,978.900024414062,961.049987792969,975.799987792969,63894,866.988037109375
"410",982.75,982.75,970,978.25,44112,869.164794921875
"411",974,990,966.099975585938,972.799987792969,137316,864.322509765625
"412",968.450012207031,972.5,961.099975585938,968.150024414062,148711,860.191040039062
"413",965,974.349975585938,962.400024414062,970.799987792969,51047,862.545593261719
"414",972.900024414062,999.349975585938,964.099975585938,997.900024414062,135179,886.623657226562
